Edad,Género,Peso_(kg),Altura_(m),Duración_sesión_(horas),Calorías_quemadas,Tipo_entrenamiento,Porcentaje_grasa,Frecuencia_entrenamiento_(días/semana),Nivel_experiencia,IMC,Frecuencia_comidas_diarias,Ejercicio_físico,Carbohidratos,Proteínas,Grasas,Calorías_totales,Nombre_comida,Tipo_comida,Tipo_dieta,Azúcar_(g),Sodio_(mg),Colesterol_(mg),Tamaño_porción_(g),Calificación,Nombre_ejercicio,Series,Repeticiones,Beneficio,Calorías_quemadas_(por_30_min),Grupo_muscular_objetivo,Equipamiento_necesario,Nivel_dificultad,Parte_cuerpo,Tipo_músculo,Entrenamiento,IMC_calculado,Calorías_de_macronutrientes,Porcentaje_carbohidratos,Proteína_por_kg,Balance_calórico,Masa_magra_(kg),Calorías_esperadas,Calorías_quemadas_(por_30_min)_bc,Categoría_quema_calorías,Objetivo
51.53076966312123,Mujer,119.88550242177656,1.752644964265516,0.7090340641965389,434.64608689731404,Cardio,36.21191054949614,2.9761991641083125,1.0541171698377143,32.35382428706049,2.9537809236683956,-0.03803520449655463,170.25668525290678,66.73866741322735,43.13633121647393,2727.2653058632686,A la plancha Vegano Almuerzo,Merienda,Bajo-Carb,16.682537692626795,2367.4625681375123,38.21864510635866,380.54117792589403,3.4468218726176785,Jumping Jacks,4.046512799841505,27.486518647385154,Improves unilateral leg strength y balance,364.69853764660365,"Pecho, Tríceps",Bandas de resistencia o Cable / Polea Máquina,Avanzado,Abs,Grip Strength,Tríceps pushdowns,29.614526789722117,1329.547768790512,0.489213766856205,0.7082160597900488,2241.029315494569,68.62354413934025,553.6248155525607,1.471138401666505e+20,Medio,Hipertrofia
32.90278302585552,Hombre,81.4670903097867,1.8790449280793409,1.3416753029796813,923.2386863978808,Yoga,20.747380603025363,4.156202271775239,1.9496475368494355,25.116220831098452,4.147284345971658,0.010874284257925675,262.6369815918038,121.19857187522538,82.23829196663584,2172.3806438082775,Raw Vegetariano Cena,Desayuno,Keto,33.51602368458671,1212.0045948677075,234.0526231064859,360.7592971092814,2.9607599000686915,Thrusters,4.738445795034543,15.419777647004308,Builds shoulder width,349.0232995591894,"Core (núcleo), Obliques",Kettlebell (pesa rusa) (pesa rusa),Principiante,Pecho,Wrist Extensors,Curl martillos,24.19449029950543,2222.2466141685563,0.4919481561948301,1.3566370017133553,1210.7363611115384,60.9286612865352,945.4155647747381,9.029678491432532e+19,Medio,Hipertrofia
30.859919317312865,Hombre,49.2500947391693,1.524915243834802,1.4945884263641918,1352.0407793908153,Entrenamiento_interválico,20.858114083501093,2.0572574223158324,0.9870177725782202,21.220495959456933,3.105271609995312,-0.02929586703843513,236.28047087316455,86.76666320820047,57.16392166889674,1267.441934313856,Al vapor Paleo Merienda,Desayuno,Paleo,45.061034799974145,1866.2398534724334,267.25651800939323,200.7485317355038,3.4953686911126343,Wall Angels,2.9525941988239888,11.892722462039925,Improves posture y back strength,166.9854194952939,"Pecho, Tríceps",Kettlebell (pesa rusa) (pesa rusa),Intermedio,Abs,Wrist Extensors,Bent-over lateral raises,22.427283567737444,1837.4993182512096,0.45195807639567115,1.8525664895322964,-47.680092473058885,35.77587060939981,460.26863531391297,1.881340336186364e+17,Medio,Pérdida de grasa
51.69,Mujer,70.91,1.72,1.31,1732.08,Entrenamiento_interválico,27.330750246929725,3.0,2.02,23.97,2.99,0.02,231.65,92.08,61.08,1946.0,Raw Keto Cena,Cena,Keto,18.94,289.93,234.47,152.4,1.32,Russian Twists,5.0,18.95,Enhances full-body coordination y stability,335.2,"Hombros, Tríceps",Ninguno o Mancuerna,Principiante,Brazos,Pecho inferior,Barra (Barbell) hip thrusts,23.969037317468903,1844.64,0.5023202359267933,1.298547454519814,213.92000000000007,51.52976499990213,878.224,6.077334514612436e+19,Bajo,Hipertrofia
17.60918863524071,Hombre,63.6747245287074,1.6197317993942577,1.3898187920341585,1540.6758314155545,Fuerza,27.735588875694404,3.0234934986760837,1.8981587898323298,27.20817931866442,2.0637318731745,0.019398636897634502,265.58619277085916,89.61196665075299,64.742236944271,1694.3010534677749,Asado Bajo-Carb Merienda,Merienda,Vegetariana,47.175033624392974,2072.0953066326942,167.60884484346775,327.1253623702671,4.297865217033673,Push Ups,4.913928305209128,23.135203740402844,Improves unilateral leg strength y balance,355.1238012978779,"Rear Deltoids, Parte superior de la espalda",Bench o Sturdy Surface,Intermedio,Espalda,Pecho inferior,Curl en banco Scott (predicador),25.242081018751193,1822.287686285814,0.4889379190099425,1.6148264908343832,344.68468259824607,42.880667360160366,1052.5587968526734,1.0697727306732983e+20,Medio,Hipertrofia
54.23,Mujer,50.32,1.61,1.49,1806.18,Entrenamiento_interválico,24.75825434838593,1.98,1.02,19.41,2.0,0.99,312.49,124.84,83.15,1231.0,Hervido Bajo-Carb Desayuno,Desayuno,Bajo-Carb,26.3,1202.2,159.34,457.51,1.52,Bulgarian Split Squats,3.0,9.9,Improves core stability y balance,289.17,"Hombros, Tríceps",Bench o Step,Avanzado,Antebrazos,Wrist Flexors,Cable / Polea crossovers,19.41283129508892,2497.67,0.5004504197912455,2.4809220985691574,-575.1800000000001,37.8616464118922,861.7266000000001,1.8192583243998872e+19,Bajo,Pérdida de grasa
48.299906190305755,Hombre,48.87860855445424,1.7867692972582003,1.6287955978471402,1456.0203589669575,Entrenamiento_interválico,21.38024335213261,2.9437606842208326,1.884461386406608,15.04188592102165,2.232418083602478,-0.02165030423059315,224.53435282832234,96.77378235630901,66.23278134091142,1552.1306215419283,Asado Keto Cena,Almuerzo,Keto,15.031371410289163,414.18542134458073,180.04018006956014,403.5345007065805,2.8207930412701177,Shoulder Press,4.806598011553841,25.441702841164915,Improves balance y leg strength,347.9610084862014,Cuerpo completo,Ninguno o Mancuerna,Avanzado,Pecho,Quads,Military press,16.60683157179638,1880.5463333827,0.5215170243391977,1.964994161470947,71.21381596695234,38.33685573283989,1071.1604806131504,1.0779252798551435e+20,Bajo,Hipertrofia
55.03,Hombre,117.69,1.72,0.76,667.58,Cardio,35.0,2.99,1.0,39.78,2.99,0.02,210.05,83.78,55.66,3159.0,Raw Bajo-Carb Cena,Cena,Bajo-Carb,8.17,871.86,94.69,132.46,1.31,Pull-ups,5.0,24.16,Targets Bíceps y forearms,345.59,"Quadriceps, Pantorrillas, Glúteos",Step o Box,Avanzado,Antebrazos,Posterior,Russian twists,39.7816387236344,1676.2600000000002,0.5012348919618674,0.7118701673889031,2491.42,76.4985,525.2968,7.798182846983066e+19,Medio,Hipertrofia
37.11163589606915,Mujer,77.46610293665165,1.6484481712353674,0.7589187468939593,720.728673658077,Yoga,28.193434394942592,1.9994627501246078,0.9879539295149203,28.936351436578377,3.9925567216471816,0.0,213.32417189310326,79.45222717629866,56.7372697132232,2029.228394682202,A la plancha Vegetariano Cena,Desayuno,Equilibrada,7.955834419114566,2129.38472553868,293.28290818036953,185.2345570865057,1.100356573617084,Thrusters,5.2398266164779645,23.98937710775498,Improves posture y back strength,351.3468603295161,Core (núcleo) (núcleo),Step o Box,Intermedio,Hombros,Anterior,Dominada con toalla,32.24356865242092,1676.79677600666,0.48229781812165146,1.0490215381241317,1215.0250070416048,49.6844146968221,505.3541062105591,8.544261191067851e+19,Medio,Hipertrofia
48.852762055652065,Mujer,64.93604267492469,1.6762533391442085,1.111876318964988,1186.4641173166983,Fuerza,28.71994206093296,2.852192554285993,0.984131967032863,25.864968892596085,2.096722821206112,0.00991732199445841,219.6751636596497,91.84775852015377,56.910390684172654,1782.7106444803485,Raw Keto Desayuno,Desayuno,Paleo,30.177070915579346,2411.7138319341284,15.494094225864732,319.61537495846557,1.7242774032606436,Bear Crawls,4.0444654870947705,14.845278084591733,Strengthens back y improves posture,337.8772536594825,"Pecho superior, Tríceps",Kettlebell (pesa rusa) (pesa rusa),Avanzado,Hombros,Superior,Curl martillos,23.947679515104117,1950.9127895823187,0.5357109947726714,1.3776258055202024,729.7879145446074,48.31066708296864,809.8162348178332,7.001519869747927e+19,Alto,Hipertrofia
